response_code,status_line,request_headers,response_headers,url,panel_id,household_id,panelist_id,time
200,"HTTP/1.1 200 OK",Array,Array,http://sharethis.nexac.com/dtxMapping.php?stid=1502A30A3498AB5214166E8C02CE63D3,UtestRouterPanel,1000,1000100,1387331397168
200,"HTTP/1.1 200 OK",Array,Array,http://p.nexac.com/e/sr/a-1548/s-3271/s-3271.xgi?rd=Y,UtestRouterPanel,1000,1000100,1387331397251
200,"HTTP/1.0 200 Ok",Array,Array,http://evsecure-ocsp.verisign.com/,UtestRouterPanel,1000,1000100,1387331397414
200,"HTTP/1.0 200 Ok",Array,Array,http://evsecure-ocsp.verisign.com/,UtestRouterPanel,1000,1000100,1387331397585
302,"HTTP/1.1 302 Found",Array,Array,http://r1---sn-nwj7knek.googlevideo.com/videoplayback?id=43cf86daa26b0398&key=yt5&upn=bG7hAA1nX5o&ms=au&sver=3&source=youtube&itag=43&ratebypass=yes&mv=u&sparams=id%2Cip%2Cipbits%2Citag%2Cratebypass%2Csource%2Cupn%2Cexpire&fexp=909717%2C932295%2C936912%2C936910%2C923305%2C936913%2C907231%2C907240&expire=1387352929&ip=216.239.55.136&mt=1387331338&ipbits=0&cpn=9P2ydUCVkWGiPoNL&signature=D09DE78205D0B4992E66B74BB884819E3F045C6F.DB2B6E852534EE918551F6C1D54C3B07ED5822D1&ptk=TimeWarner_WarnerBros&oid=9OOfqQJk9jMRqO7P3pjGWA&ptchn=iifkYAs_bq1pt_zbNAzYGg&pltype=content,UtestRouterPanel,1000,1000100,1387331398040
200,"HTTP/1.1 200 OK",Array,Array,http://www.facebook.com/plugins/like.php?api_key=192596080844540&channel_url=http%3A%2F%2Fstatic.ak.facebook.com%2Fconnect%2Fxd_arbiter.php%3Fversion%3D28%23cb%3Df2933cef0c8be1%26domain%3Dwww.dccomics.com%26origin%3Dhttp%253A%252F%252Fwww.dccomics.com%252Ff268539d0402276%26relation%3Dparent.parent&colorscheme=light&extended_social_context=false&href=http%3A%2F%2Fwww.dccomics.com%2F&layout=box_count&locale=en_US&node_type=link&sdk=joey&send=false&show_faces=false&width=55,UtestRouterPanel,1000,1000100,1387331398017
200,"HTTP/1.1 200 OK",Array,Array,http://www.facebook.com/plugins/like.php?api_key=192596080844540&channel_url=http%3A%2F%2Fstatic.ak.facebook.com%2Fconnect%2Fxd_arbiter.php%3Fversion%3D28%23cb%3Df1e2e168104576%26domain%3Dwww.dccomics.com%26origin%3Dhttp%253A%252F%252Fwww.dccomics.com%252Ff268539d0402276%26relation%3Dparent.parent&colorscheme=light&extended_social_context=false&href=http%3A%2F%2Fwww.dccomics.com%2F&layout=box_count&locale=en_US&node_type=link&sdk=joey&send=false&show_faces=false&width=55,UtestRouterPanel,1000,1000100,1387331398016
200,"HTTP/1.1 200 OK",Array,Array,http://beacon-3.newrelic.com/1/cb06216ede?a=396203&be=184&qt=0&ap=3559&dc=2804&fe=4196&to=bgFTYxMHWhUFU0FfX1dLcFQVD1sIS0BUUVVmCVBZAAFRFDtAVFFVZgFJUgITQAM%3D&v=42&jsonp=NREUM.setToken&perf=%7B%22timing%22%3A%7B%22of%22%3A1387331393479%2C%20%22n%22%3A0%2C%20%22dl%22%3A170%2C%20%22di%22%3A2988%2C%20%22ds%22%3A2996%2C%20%22de%22%3A3100%2C%20%22dc%22%3A4366%2C%20%22l%22%3A4366%2C%20%22le%22%3A4439%2C%20%22f%22%3A0%2C%20%22dn%22%3A3%2C%20%22dne%22%3A17%2C%20%22c%22%3A0%2C%20%22ce%22%3A0%2C%20%22rq%22%3A93%2C%20%22rp%22%3A170%2C%20%22rpe%22%3A1424%7D%2C%20%22navigation%22%3A%7B%7D%7D,UtestRouterPanel,1000,1000100,1387331398105
206,"HTTP/1.1 206 Partial Content",Array,Array,http://r1---sn-o097zuel.googlevideo.com/videoplayback?id=43cf86daa26b0398&key=yt5&upn=bG7hAA1nX5o&sver=3&source=youtube&itag=43&ratebypass=yes&sparams=id%2Cip%2Cipbits%2Citag%2Cratebypass%2Csource%2Cupn%2Cexpire&fexp=909717%2C932295%2C936912%2C936910%2C923305%2C936913%2C907231%2C907240&expire=1387352929&ip=216.239.55.136&ipbits=0&cpn=9P2ydUCVkWGiPoNL&signature=D09DE78205D0B4992E66B74BB884819E3F045C6F.DB2B6E852534EE918551F6C1D54C3B07ED5822D1&ptk=TimeWarner_WarnerBros&oid=9OOfqQJk9jMRqO7P3pjGWA&ptchn=iifkYAs_bq1pt_zbNAzYGg&pltype=content&redirect_counter=1&cms_redirect=yes&ms=tsu&mt=1387331337&mv=u,UtestRouterPanel,1000,1000100,1387331398177
200,"HTTP/1.1 200 OK",Array,Array,http://www.facebook.com/plugins/like.php?api_key=192596080844540&channel_url=http%3A%2F%2Fstatic.ak.facebook.com%2Fconnect%2Fxd_arbiter.php%3Fversion%3D28%23cb%3Df26b87aed73fa66%26domain%3Dwww.dccomics.com%26origin%3Dhttp%253A%252F%252Fwww.dccomics.com%252Ff268539d0402276%26relation%3Dparent.parent&colorscheme=light&extended_social_context=false&href=http%3A%2F%2Fwww.dccomics.com%2F&layout=box_count&locale=en_US&node_type=link&sdk=joey&send=false&show_faces=false&width=55,UtestRouterPanel,1000,1000100,1387331398204
